"SITE_ID","SITE_NAME","MOVED_TO_SITE_ID","DATE","DEPTH","WATER","DENSITY","LATITUDE","LONGITUDE"
1122,"NINEMILE (B)",NA,"1979-19-01",25,5.8,0.23,46.69798,-69.715157
1080,"KNOWLES CORNER",NA,"1979-29-01",35,8.8,0.25,46.364778,-68.349457
1021,"WASHBURN",NA,"1979-30-01",19,6.2,0.33,46.775709,-68.150841
1061,"GUERETTE",NA,"1979-30-01",23,7.6,0.33,47.083819,-68.231537
1001,"ROCKWOOD (KWP)",NA,"1979-31-01",26.7,7.75,0.29,45.67801,-69.758911
1013,"MOOSEHEAD (KWP)",NA,"1979-31-01",24.2,6.93,0.29,45.583831,-69.725289
1036,"JACKMAN/JACKMAN STATION (KWP)",1560,"1979-31-01",38.2,9.83,0.26,45.61838,-70.24965
1037,"PARLIN POND (KWP)",NA,"1979-31-01",36.1,9.39,0.26,45.484309,-70.0674
1038,"ALLAGASH",NA,"1979-31-01",25,8,0.32,47.07559,-69.070892
1047,"BRASSUA (KWP)",NA,"1979-31-01",24.4,7.17,0.29,45.656509,-69.8107
1049,"GREENVILLE/GREENVILLE JUNCTION (KWP)",NA,"1979-31-01",31.4,8.85,0.28,45.465157,-69.628472
1089,"PORTAGE",NA,"1979-31-01",23,7.8,0.34,46.764939,-68.473106
1090,"WINTERVILLE",NA,"1979-31-01",28,8.4,0.3,46.897453,-68.516449
1100,"EUSTIS (KWP)",NA,"1979-31-01",32.7,7.6,0.23,45.245909,-70.517101
1226,"NASHVILLE",NA,"1979-31-01",22,7.3,0.33,42.952513,-66.680008
1246,"STRATTON (KWP)",NA,"1979-31-01",40.7,8.15,0.2,45.114421,-70.383164
1287,"FLAGSTAFF/FLAGSTAFF DAM (KWP)",NA,"1979-31-01",34.7,8.1,0.23,45.224398,-70.192124
1288,"CARRABASETT (KWP)",NA,"1979-31-01",36.4,8.38,0.23,45.127668,-70.169739
1289,"DALLAS (KWP)",NA,"1979-31-01",39.3,7.67,0.2,45.00287,-70.583672
1290,"CHAIN OF PONDS (KWP)",NA,"1979-31-01",35,8.41,0.24,45.312151,-70.620065
1291,"SMILEY HILL (KWP)",NA,"1979-31-01",31.8,9.41,0.3,45.608148,-69.954163
1292,"KOKADJO (KWP)",NA,"1979-31-01",26.8,7.96,0.3,45.654487,-69.464531
1335,"SQUA PAN (C) (MPSC)",NA,"1979-31-01",22.8,5.6,0.25,46.549984,-68.320219
1336,"SQUA PAN (D) (MPSC)",NA,"1979-31-01",19.6,5.2,0.27,46.549984,-68.320219
1382,"LONG POND (KENNEBEC) (KWP)",NA,"1979-31-01",31.9,9.37,0.29,45.620179,-70.112702
1396,"CHASE CAMPS/POMKEAG (F) (MPSC)",NA,"1979-31-01",17.5,5,0.29,46.380009,-68.699997
1397,"SALMON POOL (E) (MPSC)",NA,"1979-31-01",24.7,7.5,0.3,46.420009,-68.620003
1398,"HEDGEHOG MOUNTAIN/CHAPMAN A (MPSC)",NA,"1979-31-01",20,6.5,0.33,46.62001,-68.199997
1399,"HEDGEHOG MOUNTAIN/CHAPMAN B (MPSC)",NA,"1979-31-01",22.5,6,0.27,46.620008,-68.18
1437,"MILLINOCKET (G) (MPSC)",NA,"1979-31-01",22,5.9,0.27,42.952513,-66.680008
1438,"MILLINOCKET (H) (MPSC)",NA,"1979-31-01",20,5.6,0.28,42.952513,-66.680008
1027,"ERROL/ERROL DAM (UWP)",NA,"1979-01-02",37,9.5,0.26,44.7868,-71.13144
1028,"AZISCOHOS/AZISCOHOS DAM (UWP)",NA,"1979-01-02",38,9.3,0.24,44.945659,-70.997712
1030,"MIDDLE DAM (UWP)",NA,"1979-01-02",36,8.1,0.23,44.778711,-70.923104
1031,"UPPER DAM (UWP)",NA,"1979-01-02",38,8.5,0.22,44.883761,-70.862954
1140,"GRAND LAKE STREAM",NA,"1979-07-02",14,4.7,0.34,45.17344,-67.76683
1157,"MILLINOCKET (GNP)",NA,"1979-13-02",14.5,6,0.41,45.641869,-68.713928
1181,"CRAWFORD POND (GNP)",NA,"1979-13-02",32,9,0.28,45.624547,-69.137902
1270,"MILLINOCKET LAKE (GNP)",NA,"1979-13-02",23,6.5,0.28,45.712209,-68.82373
1271,"HURD POND (GNP)",NA,"1979-13-02",20,4.5,0.23,45.793743,-69.003281
1273,"SOURDNAHUNK LAKE (GNP)",NA,"1979-13-02",30,7,0.23,46.031769,-69.08239
1275,"CAUCOMGOMOC LAKE (GNP)",NA,"1979-13-02",32,8,0.25,46.207042,-69.623543
1276,"RUSSELL POND/RUSSELL STREAM (GNP)",NA,"1979-13-02",34,9.5,0.28,46.086952,-69.818367
1278,"JONES POND (GNP)",NA,"1979-13-02",34,9.5,0.28,45.806939,-70.215539
1279,"LOBSTER LAKE (GNP)",NA,"1979-13-02",18,4.5,0.25,45.874017,-69.519814
1280,"RAGGED LAKE (GNP)",NA,"1979-13-02",22,7,0.32,45.844467,-69.3927
1283,"FROST POND/RIPOGENOUS DAM (GNP)",NA,"1979-13-02",20.5,6,0.29,45.910439,-69.185211
1284,"UMBAZOOKSUS LAKE (GNP)",NA,"1979-13-02",27,6,0.22,46.16007,-69.375427
1383,"LONG POND (PENOBSCOT) (GNP)",NA,"1979-13-02",43,10,0.23,45.961238,-70.164872
1001,"ROCKWOOD (KWP)",NA,"1979-15-02",25.8,7.93,0.31,45.67801,-69.758911
1013,"MOOSEHEAD (KWP)",NA,"1979-15-02",23.8,7.3,0.31,45.583831,-69.725289
1027,"ERROL/ERROL DAM (UWP)",NA,"1979-15-02",35,10.1,0.29,44.7868,-71.13144
1028,"AZISCOHOS/AZISCOHOS DAM (UWP)",NA,"1979-15-02",35,9.8,0.28,44.945659,-70.997712
1030,"MIDDLE DAM (UWP)",NA,"1979-15-02",34,8.7,0.26,44.778711,-70.923104
1031,"UPPER DAM (UWP)",NA,"1979-15-02",32,7.7,0.24,44.883761,-70.862954
1036,"JACKMAN/JACKMAN STATION (KWP)",1560,"1979-15-02",36.2,9.71,0.27,45.61838,-70.24965
1037,"PARLIN POND (KWP)",NA,"1979-15-02",34.7,9.28,0.27,45.484309,-70.0674
1047,"BRASSUA (KWP)",NA,"1979-15-02",24.6,7.96,0.32,45.656509,-69.8107
1049,"GREENVILLE/GREENVILLE JUNCTION (KWP)",NA,"1979-15-02",28.7,8.55,0.3,45.465157,-69.628472
1100,"EUSTIS (KWP)",NA,"1979-15-02",32.8,7.98,0.24,45.245909,-70.517101
1246,"STRATTON (KWP)",NA,"1979-15-02",35.8,9.11,0.25,45.114421,-70.383164
1287,"FLAGSTAFF/FLAGSTAFF DAM (KWP)",NA,"1979-15-02",34.5,8.37,0.24,45.224398,-70.192124
1288,"CARRABASETT (KWP)",NA,"1979-15-02",35.2,8.87,0.25,45.127668,-70.169739
1289,"DALLAS (KWP)",NA,"1979-15-02",36.7,8.96,0.24,45.00287,-70.583672
1290,"CHAIN OF PONDS (KWP)",NA,"1979-15-02",33.9,8.06,0.24,45.312151,-70.620065
1291,"SMILEY HILL (KWP)",NA,"1979-15-02",29.1,9.01,0.31,45.608148,-69.954163
1292,"KOKADJO (KWP)",NA,"1979-15-02",27.7,8.07,0.29,45.654487,-69.464531
1335,"SQUA PAN (C) (MPSC)",NA,"1979-15-02",25.8,8.3,0.32,46.549984,-68.320219
1336,"SQUA PAN (D) (MPSC)",NA,"1979-15-02",22.4,7.1,0.32,46.549984,-68.320219
1382,"LONG POND (KENNEBEC) (KWP)",NA,"1979-15-02",28.5,8.64,0.3,45.620179,-70.112702
1396,"CHASE CAMPS/POMKEAG (F) (MPSC)",NA,"1979-15-02",20.3,6.7,0.33,46.380009,-68.699997
1397,"SALMON POOL (E) (MPSC)",NA,"1979-15-02",22.8,7.3,0.32,46.420009,-68.620003
1398,"HEDGEHOG MOUNTAIN/CHAPMAN A (MPSC)",NA,"1979-15-02",22.6,7.9,0.35,46.62001,-68.199997
1399,"HEDGEHOG MOUNTAIN/CHAPMAN B (MPSC)",NA,"1979-15-02",24.1,7.9,0.33,46.620008,-68.18
1437,"MILLINOCKET (G) (MPSC)",NA,"1979-15-02",23,8.1,0.35,42.952513,-66.680008
1438,"MILLINOCKET (H) (MPSC)",NA,"1979-15-02",24.2,7.3,0.3,42.952513,-66.680008
1122,"NINEMILE (B)",NA,"1979-22-02",31,8.3,0.27,46.69798,-69.715157
1021,"WASHBURN",NA,"1979-27-02",26,8.4,0.32,46.775709,-68.150841
1027,"ERROL/ERROL DAM (UWP)",NA,"1979-27-02",37,11.1,0.3,44.7868,-71.13144
1028,"AZISCOHOS/AZISCOHOS DAM (UWP)",NA,"1979-27-02",35,10.7,0.31,44.945659,-70.997712
1029,"DIAMONDS (UWP)",NA,"1979-27-02",35,10.1,0.29,42.952513,-66.680008
1030,"MIDDLE DAM (UWP)",NA,"1979-27-02",36,9.6,0.27,44.778711,-70.923104
1031,"UPPER DAM (UWP)",NA,"1979-27-02",33,9.6,0.29,44.883761,-70.862954
1044,"PINKHAM NOTCH (UWP)",NA,"1979-27-02",44,14.8,0.34,44.245329,-71.256143
1053,"GORHAM; NH",NA,"1979-27-02",26,9.1,0.35,44.385017,-71.139329
1061,"GUERETTE",NA,"1979-27-02",30,8.8,0.29,47.083819,-68.231537
1067,"PLEASANT RIVER (UWP 3-13)",NA,"1979-27-02",27,9.2,0.34,44.354181,-70.85833
1076,"DEAD RIVER",NA,"1979-27-02",26,9,0.35,45.232017,-70.190888
1133,"WELD-PHILLIPS",NA,"1979-27-02",37,12.4,0.34,44.764319,-70.444001
1151,"DIXFIELD",1546,"1979-27-02",29,9.1,0.31,44.587278,-70.354622
1169,"NEWRY (SCREW AUGER FALLS)",NA,"1979-27-02",33,12.1,0.37,44.570139,-70.906388
1171,"UPTON (UWP)",NA,"1979-27-02",38,11.3,0.3,44.678858,-70.986924
1224,"WEST SEBOEIS/LONG A (BH)",NA,"1979-27-02",42,11.7,0.28,45.516348,-68.921631
1228,"BRETTUNS MILLS (UWP)",NA,"1979-27-02",25,9.6,0.38,44.383081,-70.254159
1229,"CANTON (UWP)",NA,"1979-27-02",28,10.2,0.36,44.439821,-70.310349
1230,"FRYE (UWP)",NA,"1979-27-02",28,9.4,0.34,44.620329,-70.576394
1231,"ROXBURY NOTCH (UWP)",NA,"1979-27-02",32,10.5,0.33,44.62633,-70.640588
1232,"ANDOVER (UWP)",NA,"1979-27-02",33,10.5,0.32,44.638788,-70.741593
1233,"NORTH RUMFORD (UWP)",NA,"1979-27-02",32,10.5,0.33,44.545837,-70.683327
1235,"WILD RIVER (UWP)",NA,"1979-27-02",30,10.7,0.36,44.341681,-71.016671
1236,"GILEAD (UWP)",NA,"1979-27-02",27,9.1,0.34,44.391681,-70.987504
1237,"U.S. ROUTE 2 VETRANS CLUB (UWP)",NA,"1979-27-02",37,11.9,0.32,44.358341,-71.344498
1238,"RANDOLPH (UWP)",NA,"1979-27-02",32,9.7,0.3,44.375008,-71.426667
1239,"GRAFTON NOTCH (UWP)",NA,"1979-27-02",43,13.6,0.32,44.591811,-70.947594
1240,"SUNDAY RIVER (UWP)",NA,"1979-27-02",22,7.9,0.36,44.49584,-70.85833
1241,"MILL MOUNTAIN (UWP)",NA,"1979-27-02",32,8.7,0.27,44.73884,-71.1055
1242,"WEST RICHARDSON POND (KWP)",NA,"1979-27-02",42,11.5,0.27,44.916709,-70.922201
1243,"DEER MOUTAIN (UWP)",NA,"1979-27-02",37,11.6,0.31,44.979181,-70.86667
1244,"OTTER BROOK (UWP)",NA,"1979-27-02",34,9.8,0.29,44.995078,-70.864213
1245,"DODGE POND (UWP)",NA,"1979-27-02",38,10.1,0.27,44.970753,-70.699967
1247,"HOUGHTON (UWP)",NA,"1979-27-02",33,11,0.33,44.835792,-70.707574
1248,"HEIGHT OF LAND; RT. 17 (UWP)",NA,"1979-27-02",48,15.1,0.32,44.838837,-70.708329
1249,"3 MILES/SOUTH OQUOSSOC (UWP)",NA,"1979-27-02",34,9.1,0.27,44.911179,-70.741669
1250,"SOUTH ERROL (UWP)",NA,"1979-27-02",33,9.2,0.28,44.74486,-71.150292
1251,"ROUTE 16; BOG BROOK (UWP)",NA,"1979-27-02",32,9.3,0.29,44.669441,-71.182641
1252,"DIXVILLE NOTCH: HEIGHT OF LAND (UWP)",NA,"1979-27-02",41,12.2,0.3,44.86309,-71.298867
1253,"1-1/2 MI EAST OF RICHARDSON PD (UWP)",NA,"1979-27-02",39,11.7,0.3,44.944511,-70.895829
1254,"BROWN OWL (UWP)",NA,"1979-27-02",32,8.5,0.27,44.829661,-71.080148
1255,"NO NAME BROOK (UWP)",NA,"1979-27-02",42,12.1,0.29,44.932839,-70.959832
1256,"BARNEY BROOK (UWP)",NA,"1979-27-02",38,10.2,0.27,44.979511,-70.958505
1257,"NORTH OF BEAVER BROOK (UWP)",NA,"1979-27-02",42,12.7,0.3,44.984169,-70.959832
1258,"ALDRICH BROOK (UWP)",NA,"1979-27-02",40,13.2,0.33,45.007839,-70.945664
1259,"LITTLE ABBOT BROOK (UWP)",NA,"1979-27-02",41,13.1,0.32,44.975006,-71.053498
1260,"NORTH HAMMOND BROOK (UWP)",NA,"1979-27-02",38,8.4,0.22,45.037007,-71.042672
1261,"BIG BROOK (UWP)",NA,"1979-27-02",40,12.4,0.31,45.062177,-71.021165
1262,"HAMMEL BROOK (UWP)",NA,"1979-27-02",41,11.7,0.28,45.08625,-71.002001
1263,"WHEELER BROOK (UWP)",NA,"1979-27-02",39,11.9,0.3,45.114259,-71.023001
1264,"LITTLE MAGALLOWAY RIVER (UWP)",NA,"1979-27-02",42,10.6,0.25,45.133299,-71.023827
1299,"PONTOOK DAM/PONTOCOOK DA",NA,"1979-27-02",36,10.3,0.29,44.633769,-71.253533
1474,"PINKHAM NOTCH - 1/2 WAY (UWP)",NA,"1979-27-02",37,12,0.32,44.30834,-71.224999
1475,"DIXVILLE NOTCH - 1/2 WAY (UWP)",NA,"1979-27-02",47,14.8,0.32,44.85834,-71.287499
1476,"STRATTON ROAD (UWP)",NA,"1979-27-02",36,10.7,0.3,44.995842,-70.604172
1477,"6 MILES/SOUTH OQUOSSOC (UWP)",NA,"1979-27-02",46,13.6,0.3,44.87784,-70.712502
1038,"ALLAGASH",NA,"1979-28-02",28,9.2,0.33,47.07559,-69.070892
1089,"PORTAGE",NA,"1979-28-02",29,9.1,0.31,46.764939,-68.473106
1090,"WINTERVILLE",NA,"1979-28-02",31,10.6,0.34,46.897453,-68.516449
1157,"MILLINOCKET (GNP)",NA,"1979-28-02",26,10,0.39,45.641869,-68.713928
1181,"CRAWFORD POND (GNP)",NA,"1979-28-02",43,10,0.23,45.624547,-69.137902
1226,"NASHVILLE",NA,"1979-28-02",31,9.4,0.3,42.952513,-66.680008
1270,"MILLINOCKET LAKE (GNP)",NA,"1979-28-02",28,12,0.43,45.712209,-68.82373
1271,"HURD POND (GNP)",NA,"1979-28-02",22,8,0.36,45.793743,-69.003281
1273,"SOURDNAHUNK LAKE (GNP)",NA,"1979-28-02",32,10,0.31,46.031769,-69.08239
1275,"CAUCOMGOMOC LAKE (GNP)",NA,"1979-28-02",26,10,0.39,46.207042,-69.623543
1276,"RUSSELL POND/RUSSELL STREAM (GNP)",NA,"1979-28-02",34,8,0.23,46.086952,-69.818367
1277,"PENOBSCOT LAKE (GNP)",NA,"1979-28-02",41,10,0.24,45.917281,-70.224534
1278,"JONES POND (GNP)",NA,"1979-28-02",36,8,0.22,45.806939,-70.215539
1279,"LOBSTER LAKE (GNP)",NA,"1979-28-02",23,7,0.3,45.874017,-69.519814
1280,"RAGGED LAKE (GNP)",NA,"1979-28-02",24,11,0.46,45.844467,-69.3927
1283,"FROST POND/RIPOGENOUS DAM (GNP)",NA,"1979-28-02",27,8.5,0.32,45.910439,-69.185211
1284,"UMBAZOOKSUS LAKE (GNP)",NA,"1979-28-02",27,9,0.33,46.16007,-69.375427
1335,"SQUA PAN (C) (MPSC)",NA,"1979-28-02",33,8.9,0.27,46.549984,-68.320219
1336,"SQUA PAN (D) (MPSC)",NA,"1979-28-02",28.9,9.4,0.33,46.549984,-68.320219
1383,"LONG POND (PENOBSCOT) (GNP)",NA,"1979-28-02",35,9,0.26,45.961238,-70.164872
1396,"CHASE CAMPS/POMKEAG (F) (MPSC)",NA,"1979-28-02",28.5,8.7,0.3,46.380009,-68.699997
1397,"SALMON POOL (E) (MPSC)",NA,"1979-28-02",32.3,9.8,0.3,46.420009,-68.620003
1398,"HEDGEHOG MOUNTAIN/CHAPMAN A (MPSC)",NA,"1979-28-02",31.4,9.4,0.3,46.62001,-68.199997
1399,"HEDGEHOG MOUNTAIN/CHAPMAN B (MPSC)",NA,"1979-28-02",34.2,9.3,0.27,46.620008,-68.18
1437,"MILLINOCKET (G) (MPSC)",NA,"1979-28-02",30.9,10,0.32,42.952513,-66.680008
1438,"MILLINOCKET (H) (MPSC)",NA,"1979-28-02",32.5,10.2,0.31,42.952513,-66.680008
1001,"ROCKWOOD (KWP)",NA,"1979-01-03",29.4,9.21,0.31,45.67801,-69.758911
1008,"AUGUSTA",NA,"1979-01-03",10.4,5.5,0.53,44.289992,-69.707787
1013,"MOOSEHEAD (KWP)",NA,"1979-01-03",28.1,10,0.36,45.583831,-69.725289
1036,"JACKMAN/JACKMAN STATION (KWP)",1560,"1979-01-03",39.2,10.82,0.28,45.61838,-70.24965
1037,"PARLIN POND (KWP)",NA,"1979-01-03",36.7,10.93,0.3,45.484309,-70.0674
1047,"BRASSUA (KWP)",NA,"1979-01-03",28.3,8.64,0.3,45.656509,-69.8107
1049,"GREENVILLE/GREENVILLE JUNCTION (KWP)",NA,"1979-01-03",36.1,10.49,0.29,45.465157,-69.628472
1100,"EUSTIS (KWP)",NA,"1979-01-03",35.5,8.36,0.23,45.245909,-70.517101
1246,"STRATTON (KWP)",NA,"1979-01-03",39.6,9.33,0.24,45.114421,-70.383164
1287,"FLAGSTAFF/FLAGSTAFF DAM (KWP)",NA,"1979-01-03",37.7,10.08,0.27,45.224398,-70.192124
1288,"CARRABASETT (KWP)",NA,"1979-01-03",37.9,11.57,0.3,45.127668,-70.169739
1289,"DALLAS (KWP)",NA,"1979-01-03",38.8,9.37,0.24,45.00287,-70.583672
1290,"CHAIN OF PONDS (KWP)",NA,"1979-01-03",37.7,8.62,0.23,45.312151,-70.620065
1291,"SMILEY HILL (KWP)",NA,"1979-01-03",34.2,9.89,0.29,45.608148,-69.954163
1292,"KOKADJO (KWP)",NA,"1979-01-03",29.5,9.25,0.31,45.654487,-69.464531
1382,"LONG POND (KENNEBEC) (KWP)",NA,"1979-01-03",34.4,9.95,0.29,45.620179,-70.112702
1005,"LOWELL",NA,"1979-09-03",16,5.4,0.34,45.1941,-68.471131
1006,"MILO",NA,"1979-09-03",20,5.9,0.29,45.2834,-69.015488
1004,"GRINDSTONE",NA,"1979-12-03",20,6,0.3,45.729618,-68.587021
1140,"GRAND LAKE STREAM",NA,"1979-13-03",11,3.9,0.35,45.17344,-67.76683
1141,"VANCEBORO",NA,"1979-13-03",14,3.6,0.26,45.545149,-67.480262
1001,"ROCKWOOD (KWP)",NA,"1979-15-03",24.9,8.39,0.34,45.67801,-69.758911
1013,"MOOSEHEAD (KWP)",NA,"1979-15-03",20.6,7.57,0.37,45.583831,-69.725289
1017,"MEDWAY (BH)",NA,"1979-15-03",7.2,3.48,0.48,45.609351,-68.545196
1018,"AMHERST (BH)",NA,"1979-15-03",8.4,3.12,0.37,44.830908,-68.448707
1027,"ERROL/ERROL DAM (UWP)",NA,"1979-15-03",31,10.9,0.35,44.7868,-71.13144
1028,"AZISCOHOS/AZISCOHOS DAM (UWP)",NA,"1979-15-03",27,8.7,0.32,44.945659,-70.997712
1030,"MIDDLE DAM (UWP)",NA,"1979-15-03",27,7.2,0.27,44.778711,-70.923104
1031,"UPPER DAM (UWP)",NA,"1979-15-03",27,10.7,0.4,44.883761,-70.862954
1036,"JACKMAN/JACKMAN STATION (KWP)",1560,"1979-15-03",34.1,10.73,0.32,45.61838,-70.24965
1037,"PARLIN POND (KWP)",NA,"1979-15-03",34.3,10.7,0.31,45.484309,-70.0674
1047,"BRASSUA (KWP)",NA,"1979-15-03",21.3,7.9,0.37,45.656509,-69.8107
1049,"GREENVILLE/GREENVILLE JUNCTION (KWP)",NA,"1979-15-03",30.5,9.54,0.31,45.465157,-69.628472
1100,"EUSTIS (KWP)",NA,"1979-15-03",28.6,8.19,0.29,45.245909,-70.517101
1196,"SEBEC (BH)",NA,"1979-15-03",15.9,6.6,0.41,45.241678,-69.106751
1197,"TELOS (BH)",NA,"1979-15-03",25.7,7.32,0.28,46.14337,-69.124108
1223,"DEDHAM (BH)",NA,"1979-15-03",0,0,0,44.640618,-68.555763
1224,"WEST SEBOEIS/LONG A (BH)",NA,"1979-15-03",26,7.55,0.29,45.516348,-68.921631
1246,"STRATTON (KWP)",NA,"1979-15-03",28.4,9.91,0.35,45.114421,-70.383164
1285,"WEST ENFIELD (BH)",NA,"1979-15-03",7.2,3.48,0.48,45.251102,-68.642609
1287,"FLAGSTAFF/FLAGSTAFF DAM (KWP)",NA,"1979-15-03",31.3,10.2,0.33,45.224398,-70.192124
1288,"CARRABASETT (KWP)",NA,"1979-15-03",31.6,10.52,0.33,45.127668,-70.169739
1289,"DALLAS (KWP)",NA,"1979-15-03",28.6,9.21,0.32,45.00287,-70.583672
1290,"CHAIN OF PONDS (KWP)",NA,"1979-15-03",27,6.41,0.24,45.312151,-70.620065
1291,"SMILEY HILL (KWP)",NA,"1979-15-03",26.2,9.06,0.35,45.608148,-69.954163
1292,"KOKADJO (KWP)",NA,"1979-15-03",22.7,7.76,0.34,45.654487,-69.464531
1335,"SQUA PAN (C) (MPSC)",NA,"1979-15-03",27.7,9.8,0.35,46.549984,-68.320219
1336,"SQUA PAN (D) (MPSC)",NA,"1979-15-03",24.7,10.3,0.42,46.549984,-68.320219
1382,"LONG POND (KENNEBEC) (KWP)",NA,"1979-15-03",27.7,9.4,0.34,45.620179,-70.112702
1396,"CHASE CAMPS/POMKEAG (F) (MPSC)",NA,"1979-15-03",19.5,7.5,0.39,46.380009,-68.699997
1397,"SALMON POOL (E) (MPSC)",NA,"1979-15-03",21.2,8,0.38,46.420009,-68.620003
1398,"HEDGEHOG MOUNTAIN/CHAPMAN A (MPSC)",NA,"1979-15-03",21.6,9.4,0.43,46.62001,-68.199997
1399,"HEDGEHOG MOUNTAIN/CHAPMAN B (MPSC)",NA,"1979-15-03",22.4,9.5,0.42,46.620008,-68.18
1437,"MILLINOCKET (G) (MPSC)",NA,"1979-15-03",24.8,7.6,0.31,42.952513,-66.680008
1438,"MILLINOCKET (H) (MPSC)",NA,"1979-15-03",24.8,6.5,0.26,42.952513,-66.680008
1022,"FORT KENT",NA,"1979-27-03",17,6,0.35,47.236798,-68.581322
1038,"ALLAGASH",NA,"1979-27-03",20,6.8,0.34,47.07559,-69.070892
1089,"PORTAGE",NA,"1979-27-03",0,0,0,46.764939,-68.473106
1090,"WINTERVILLE",NA,"1979-27-03",14,5.4,0.39,46.897453,-68.516449
1226,"NASHVILLE",NA,"1979-27-03",12,4,0.33,42.952513,-66.680008
1021,"WASHBURN",NA,"1979-28-03",6,2.1,0.35,46.775709,-68.150841
1061,"GUERETTE",NA,"1979-28-03",14,4,0.29,47.083819,-68.231537
1157,"MILLINOCKET (GNP)",NA,"1979-28-03",16,6,0.38,45.641869,-68.713928
1181,"CRAWFORD POND (GNP)",NA,"1979-28-03",25,8,0.32,45.624547,-69.137902
1270,"MILLINOCKET LAKE (GNP)",NA,"1979-28-03",13,5.5,0.42,45.712209,-68.82373
1271,"HURD POND (GNP)",NA,"1979-28-03",15,5,0.33,45.793743,-69.003281
1273,"SOURDNAHUNK LAKE (GNP)",NA,"1979-28-03",22,8,0.36,46.031769,-69.08239
1275,"CAUCOMGOMOC LAKE (GNP)",NA,"1979-28-03",22,8,0.36,46.207042,-69.623543
1277,"PENOBSCOT LAKE (GNP)",NA,"1979-28-03",25,7.5,0.3,45.917281,-70.224534
1283,"FROST POND/RIPOGENOUS DAM (GNP)",NA,"1979-28-03",16,6,0.38,45.910439,-69.185211
1284,"UMBAZOOKSUS LAKE (GNP)",NA,"1979-28-03",19,8,0.42,46.16007,-69.375427
1383,"LONG POND (PENOBSCOT) (GNP)",NA,"1979-28-03",22,7,0.32,45.961238,-70.164872
1197,"TELOS (BH)",NA,"1979-31-03",21.3,7.3,0.34,46.14337,-69.124108
1224,"WEST SEBOEIS/LONG A (BH)",NA,"1979-31-03",17,6.27,0.37,45.516348,-68.921631
1335,"SQUA PAN (C) (MPSC)",NA,"1979-31-03",19.5,7.4,0.38,46.549984,-68.320219
1336,"SQUA PAN (D) (MPSC)",NA,"1979-31-03",12.6,5.6,0.44,46.549984,-68.320219
1396,"CHASE CAMPS/POMKEAG (F) (MPSC)",NA,"1979-31-03",11.8,5.5,0.47,46.380009,-68.699997
1397,"SALMON POOL (E) (MPSC)",NA,"1979-31-03",15,6.9,0.46,46.420009,-68.620003
1398,"HEDGEHOG MOUNTAIN/CHAPMAN A (MPSC)",NA,"1979-31-03",5.8,2.8,0.48,46.62001,-68.199997
